13	8	4	5	8	10	5	5
65	19	11	18	15	11	15	16
12	6	5	5	16	20	17	11
52	16	10	13	22	15	20	16
13	8	4	5	8	10	5	5
11	6	5	5	6	5	6	6
55	21	10	15	17	13	17	17
23	15	12	8	6	5	4	5
13	6	5	5	5	5	3	5
20	13	12	7	5	5	3	5
18	11	8	6	9	12	12	7
11	6	4	4	5	5	4	5
14	8	7	5	5	5	4	5
13	6	5	5	6	6	5	6
14	8	4	5	8	10	5	5
49	22	13	15	18	12	21	17
33	18	9	15	20	12	18	18
42	22	9	15	13	14	22	10
13	9	7	6	7	8	8	6
11	7	5	5	5	9	7	5
53	18	10	11	16	17	15	13
35	16	9	13	17	14	19	19
10	6	4	4	16	19	14	10
13	8	4	5	8	10	9	5
11	6	5	5	8	9	9	7
62	24	11	13	20	14	17	12
17	12	9	6	9	12	12	8
11	6	4	4	5	5	3	5
39	17	12	18	19	13	12	16
38	17	10	12	20	13	16	12
11	7	5	5	6	10	8	5
13	7	5	6	10	10	11	8
15	9	6	5	5	5	4	5
49	15	9	12	18	18	16	14
19	12	9	6	5	5	3	5
59	22	14	17	33	11	17	18
11	6	4	5	6	5	6	6
11	6	4	4	5	5	4	5
13	7	4	5	7	7	10	8
27	16	6	7	9	9	14	8
12	15	18	5	7	10	8	6
28	19	10	15	21	11	20	13
58	19	9	16	20	16	21	16
54	19	10	15	20	12	14	15
13	6	4	5	6	5	5	6
14	8	4	5	8	10	5	5
14	9	7	5	9	11	11	7
28	14	8	12	16	13	14	10
11	7	4	5	6	10	8	5
11	6	5	4	13	15	11	9
13	8	5	5	8	10	9	5
23	14	12	7	12	15	18	10
58	20	9	11	15	12	12	11
11	6	5	5	8	10	8	7
12	6	5	5	5	5	4	5
54	17	9	13	22	15	16	17
11	7	7	5	5	5	3	5
13	17	18	5	7	10	8	6
70	30	14	18	28	14	23	18
51	14	10	15	23	11	15	14
12	7	5	5	6	6	6	6
14	8	4	5	8	10	5	5
11	6	4	4	5	5	5	5
12	8	19	5	10	11	12	9
43	26	12	18	18	12	18	17
51	19	10	16	19	16	21	16
14	8	6	6	5	5	4	5
11	7	5	5	5	6	5	5
21	13	10	7	5	5	3	5
13	10	11	7	5	5	3	5
11	6	5	5	5	7	6	5
11	6	5	5	10	10	11	7
61	21	11	14	17	11	14	13
11	6	5	4	5	5	3	5
11	6	5	5	13	14	14	10
13	8	7	6	6	5	3	5
12	7	5	5	6	10	8	6
22	6	4	4	5	5	5	5
15	9	8	6	7	5	3	5
18	13	11	7	13	18	17	10
13	8	6	5	6	5	6	5
13	6	5	5	10	9	9	7
