12	7	5	5	6	7	5	6
57	18	10	9	17	10	8	16
13	8	6	5	8	10	10	6
12	6	5	5	5	5	4	5
12	6	5	5	9	11	10	7
11	6	4	5	5	5	4	5
17	12	11	6	6	5	5	6
19	13	11	7	6	5	5	5
59	20	13	16	25	13	22	20
25	12	6	12	11	6	11	7
43	17	11	16	26	13	19	22
20	14	11	7	11	15	13	9
10	6	5	5	5	5	3	5
52	18	9	15	21	18	16	18
11	7	5	5	5	5	3	5
34	16	11	16	16	14	13	16
40	17	9	22	14	14	21	12
11	6	4	5	8	8	11	7
13	10	7	5	8	10	10	7
10	9	19	4	5	5	6	6
11	6	5	5	8	9	10	7
28	16	9	12	16	12	16	11
10	6	5	5	14	15	13	10
47	14	10	11	19	14	18	14
35	17	8	11	17	11	14	13
